cutoffs,nll_mode,nll_mode_fixed,n,min_n,num_cutoffs,k_varying,k_fixed,aic_varying,aic_fixed,bic_varying,bic_fixed
"(9, 13, 19)",80804.73807943567,80975.22884655588,"[16998, 5565, 5325, 640]",640,3,12,8,80816.73807943567,80983.22884655588,80808.89696251904,80978.00143527811
"(9, 12)",80807.77339755477,80973.52736611874,"[16998, 4337, 7193]",4337,2,9,6,80816.77339755477,80979.52736611874,80810.8925598673,80975.60680766041
"(9, 11, 14)",80804.8385192209,80973.13276424578,"[16998, 2997, 3672, 4861]",2997,3,12,8,80816.8385192209,80981.13276424578,80808.99740230426,80975.90535296801
"(9, 16)",80807.86310595242,80974.87746083041,"[16998, 8586, 2944]",2944,2,9,6,80816.86310595242,80980.87746083041,80810.98226826494,80976.95690237208
"(1, 10, 14)",80804.95405617464,80979.63275220242,"[1967, 16582, 5118, 4861]",1967,3,12,8,80816.95405617464,80987.63275220242,80809.112939258,80982.40534092466
"(1, 9, 19)",80804.97717673257,80976.6348036964,"[1967, 15031, 10890, 640]",640,3,12,8,80816.97717673257,80984.6348036964,80809.13605981594,80979.40739241864
"(9, 13, 15)",80805.0296033454,80974.4025223643,"[16998, 5565, 2110, 3855]",2110,3,12,8,80817.0296033454,80982.4025223643,80809.18848642877,80977.17511108653
"(9, 10)",80808.08670342187,80971.76936350905,"[16998, 1551, 9979]",1551,2,9,6,80817.08670342187,80977.76936350905,80811.20586573439,80973.84880505073
"(9, 11)",80808.09354376854,80973.09942207648,"[16998, 2997, 8533]",2997,2,9,6,80817.09354376854,80979.09942207648,80811.21270608106,80975.17886361816
"(1, 3, 14)",80805.1287816827,80994.82262553698,"[1967, 4029, 17671, 4861]",1967,3,12,8,80817.1287816827,81002.82262553698,80809.28766476606,80997.59521425921
"(9, 13, 17)",80805.14861915019,80975.2320593818,"[16998, 5565, 3856, 2109]",2109,3,12,8,80817.14861915019,80983.2320593818,80809.30750223355,80978.00464810403
"(9, 12, 14)",80805.1757844241,80973.44538409675,"[16998, 4337, 2332, 4861]",2332,3,12,8,80817.1757844241,80981.44538409675,80809.33466750746,80976.21797281898
"(1, 3, 15)",80805.22711972233,80994.31300934001,"[1967, 4029, 18677, 3855]",1967,3,12,8,80817.22711972233,81002.31300934001,80809.3860028057,80997.08559806224
"(9, 12, 15)",80805.26241688438,80973.05022768285,"[16998, 4337, 3338, 3855]",3338,3,12,8,80817.26241688438,80981.05022768285,80809.42129996774,80975.82281640508
"(10, 18)",80808.30301905956,80977.78234749511,"[18549, 8638, 1341]",1341,2,9,6,80817.30301905956,80983.78234749511,80811.42218137208,80979.86178903679
